,Year,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh)
0,1965,India,IND,146.99525009610602,2.372521898016,413.40768185244485,0.0,53.241536482084,0.0,0.0,0.0,0.0
1,1966,India,IND,164.149812986412,2.663272130616,412.4156912002557,0.0,55.598551701028,0.0,0.0,0.0,0.0
2,1967,India,IND,169.360363543738,3.558782847024,419.2855868364068,0.0,62.215380883376,0.0,0.0,0.0,0.0
3,1968,India,IND,189.771047372272,3.95420316336,433.8250641066126,0.0,71.803031331268,0.0,0.0,0.0,0.0
4,1969,India,IND,227.929016231956,4.745043796032,460.8415757198046,0.0,79.72112933240801,2.0132838328480003,0.0,0.0,0.0
5,1970,India,IND,226.89162873538,6.328471265485463,436.8092262088125,0.0,84.545644858684,3.633731795872,0.0,0.0,0.0
6,1971,India,IND,243.332657999304,6.706224114975001,442.8725561336615,0.0,92.733817520328,2.70074660504,0.0,0.0,0.0
7,1972,India,IND,262.383467128828,7.355912134725001,467.68346104493065,0.0,90.00851867342399,2.5657092747880004,0.0,0.0,0.0
8,1973,India,IND,276.95929712281605,7.336662119325001,461.4497760579865,0.0,95.851952237056,5.426045451944001,0.0,0.0,0.0
9,1974,India,IND,271.54317834548004,8.303975393175,520.8565187942819,0.0,92.230496562116,4.996381219324,0.0,0.0,0.0
10,1975,India,IND,278.093056918712,10.63082100465,559.9066501827424,0.0,110.190461485632,5.9539186520200005,0.0,0.0,0.0
11,1976,India,IND,293.25892794028806,12.914354081475002,583.0352988223965,0.0,115.27277555148,7.377948680132,0.0,0.0,0.0
12,1977,India,IND,315.044287590784,13.7926360341,610.3466557456534,0.0,125.76885894834,5.143694670508,0.0,0.0,0.0
13,1978,India,IND,342.37479001072404,15.40482482385,590.6645849258206,0.0,156.041773166652,6.285373917184,0.0,0.0,0.0
14,1979,India,IND,369.4730514115381,19.158577826850003,627.4933845255866,0.0,150.468414263524,6.518620214892,0.0,0.0,0.0
15,1980,India,IND,376.816478119608,11.331040314825,659.5655103316471,0.0,154.00393709194003,6.800970996328001,0.0,0.0,0.0
16,1981,India,IND,405.6556086908941,19.781797075425004,742.1430109968228,0.0,164.11946073990802,6.850075480056001,0.0,0.0,0.0
17,1982,India,IND,422.656675902848,25.934583247650004,733.904619623226,0.0,138.49919635482402,5.990747014816001,0.0,0.0,0.0
18,1983,India,IND,444.353300482356,30.8577746862,779.0486741639327,0.0,133.453710651772,8.544180168672,0.0,0.0,0.0
19,1984,India,IND,477.0674127647361,35.340622022475,818.3114848221364,0.0,149.118040961004,11.220374531848,0.0,0.0,0.0
20,1985,India,IND,517.6362093864141,43.22831583262501,857.3977651886718,0.0,143.925241806768,12.521643350640002,0.0,0.0,0.0
21,1986,India,IND,544.259896796458,60.400292070195,921.2407906301288,0.0,146.02445848614,13.945673378752003,0.0,0.0,0.0
22,1987,India,IND,561.767228857868,69.57706316160599,1011.6306439908122,0.0,136.007143805628,14.780449602128,0.0,0.0,0.0
23,1988,India,IND,616.5012854228561,81.50495020390801,1085.55821846308,0.0,151.70830247765605,16.8796662815,0.0,0.0,0.0
24,1989,India,IND,667.773179495894,96.904673773677,1179.9420738193844,0.0,176.027298043948,11.171270048120002,0.0,0.0,0.0
25,1990,India,IND,693.5373273294181,115.92744274188,1276.0261651970266,0.0,184.4364408823681,17.763546988604006,0.0841751515151515,0.1044065733483482,0.0
26,1991,India,IND,704.7980441157622,129.10812078641402,1357.8787828818683,0.0,205.3303987086321,15.0382481417,0.3136391398,0.2640872149399399,0.0
27,1992,India,IND,741.8269392944101,144.34701047751602,1438.2577129522108,0.0,194.613345134996,17.788099230468,0.2457501966,0.3316444094594598,0.0
28,1993,India,IND,749.6282958132683,146.67096858668103,1489.6265192830704,0.0,196.47931551666,17.297054393188,0.2632502106,0.7001381977477462,0.0
29,1994,India,IND,805.0700782222141,158.56930685534402,1537.2883113138128,0.0,222.8115949158,13.736979322908,0.5313337584000001,1.056348859759759,0.0
30,1995,India,IND,897.8395363266101,180.778434622632,1631.614708176828,0.0028058383838383,210.89148149082803,21.151756365836004,1.3790844366,1.566098600225225,0.0
31,1996,India,IND,969.208075921396,197.31737410377295,1678.4838703671414,0.0168350303030303,191.82666568343203,23.336905891732,2.4399463964,2.100414593243241,0.0
32,1997,India,IND,1036.261307063938,214.52650287106505,1755.924891711771,0.0168350303030303,195.030733246684,27.977279604028,2.74444664,2.7268540333333315,0.0
33,1998,India,IND,1109.913155152036,235.42893959300105,1814.341748465921,0.0168350303030303,232.313312517168,31.586459158036,2.9972246200000003,3.590357810555562,0.0
34,1999,India,IND,1211.4325590657445,241.233877986948,1797.3163295954828,0.0168350303030303,228.47088666545204,35.355228284160006,4.01666988,4.683556049144149,0.0
35,2000,India,IND,1273.522221540143,253.62713415154505,1911.792968740668,0.0196408686868686,213.86230275637203,43.801199485376,4.39444796,4.683556049144149,0.288
36,2001,India,IND,1280.5434832254116,254.277688421988,1927.7267775994635,0.030663805194805,198.76482631692852,52.12743864996951,5.754063044805198,5.710320919506942,0.3329999999999999
37,2002,India,IND,1364.8846193634888,265.5443374353,2013.45775692397,0.036005242228739,187.9458274533159,53.06349312817999,5.716940057419361,5.867474288570259,0.311
38,2003,India,IND,1400.5102337109713,284.269212415188,2108.8195386356674,0.0440300792540794,188.78785359426456,49.42437110997804,7.0955441379692425,7.3899374179704544,0.335
39,2004,India,IND,1437.8411275416572,306.69163035310805,2243.5303173985435,0.0492183370005789,272.42251093146496,57.54017342063692,14.145283609211472,8.972009303134866,0.384
40,2005,India,IND,1464.2461854917974,343.2566496051,2456.1153155084417,0.0489068285385501,262.047677992405,47.68342422265831,16.11504453759493,10.854014853140686,0.444
41,2006,India,IND,1538.3931128811223,358.7721620175,2550.428177750693,0.0192452984150943,301.02141209935365,47.1289559421282,24.958211790452825,14.933816978490556,0.508
42,2007,India,IND,1653.9789320732427,388.1029187176394,2791.572754912029,0.1567188753749999,325.69130078720724,47.3657035175325,31.032462325950004,19.664234481375004,0.525
43,2008,India,IND,1734.1092135582803,399.87697994654746,3015.320291955304,0.1663044808695652,304.01784259296005,40.20537533197648,37.954906140298135,24.55498858807452,0.6920000000000001
44,2009,India,IND,1825.098716391922,491.08124066249496,3266.0752929446166,0.1967594166666666,278.9734434717845,44.11655689815563,42.68629958111096,30.54230838444438,0.2189999999999999
45,2010,India,IND,1866.3136285589865,589.6166925992572,3377.142919987425,0.2946321375460131,283.53545037112326,60.18346379090419,50.72991788451546,37.27226908159503,0.113
46,2011,India,IND,1953.5029092065492,602.8592530749777,3542.843795400353,2.1431419584146343,341.3079190064835,83.5064768661036,62.0715588035487,44.40994406451211,0.8190000000000001
47,2012,India,IND,2069.5759453940154,556.9913639367736,3837.760633876384,5.4065194767272615,298.21211356950005,85.35992737879616,70.65978380050903,51.35034411054549,0.637
48,2013,India,IND,2083.451819921592,490.1934104183342,4102.856007386292,8.789314260361449,337.9086046640175,85.27718870362388,76.82623615973476,57.54914242481933,0.75
49,2014,India,IND,2144.122795395225,485.01605561121465,4507.1405250384805,12.492974066227536,353.7333627020332,88.27216343204536,85.1397836806347,62.79825383137732,0.644
50,2015,India,IND,2316.802119105685,478.0687575401502,4597.026459139364,16.611391265292855,337.1733537470228,96.90898228902854,82.82796209565001,65.31344510785706,1.168
51,2016,India,IND,2540.9752662216706,507.91022491519095,4682.362883068977,29.06091969842133,322.85342934477865,95.30459103651128,109.27495576308996,62.40927736274,1.919
52,2017,India,IND,2635.233951411403,537.3558781300003,4849.172938659746,53.86149308916001,339.62520226888057,93.5361998289,131.5624802499,62.52022530032272,1.181
53,2018,India,IND,2763.9843504899977,580.9140479833666,5154.910704337571,90.2971877347685,347.0392149482081,97.055910978,149.89627781166328,65.10549711879602,1.3019999999999998
54,2019,India,IND,2843.9305901923467,596.8089685422983,5172.2228654792325,114.56893320452936,400.7697613727888,111.8331822790737,156.77986560313582,62.77426639751823,1.295
